№,Code,Brow.,Chart,Applᵈ,Goog,Twtr.,One,FB,FBM,Sams.,Wind.,GMail,SB,DCM,KDDI,Name,Date,Keywords
375,U+1F482,💂,,,,,,,,,,,,—,—,guard,2010,guard
376,U+1F482 U+1F3FB,💂🏻,—,,,,,,,,,—,—,—,—,guard: light skin tone,2015,guard | light skin tone
377,U+1F482 U+1F3FC,💂🏼,—,,,,,,,,,—,—,—,—,guard: medium-light skin tone,2015,guard | medium-light skin tone
378,U+1F482 U+1F3FD,💂🏽,—,,,,,,,,,—,—,—,—,guard: medium skin tone,2015,guard | medium skin tone
379,U+1F482 U+1F3FE,💂🏾,—,,,,,,,,,—,—,—,—,guard: medium-dark skin tone,2015,guard | medium-dark skin tone
380,U+1F482 U+1F3FF,💂🏿,—,,,,,,,,,—,—,—,—,guard: dark skin tone,2015,dark skin tone | guard
381,U+1F482 U+200D U+2642 U+FE0F,💂‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man guard,2010,guard | man
382,U+1F482 U+1F3FB U+200D U+2642 U+FE0F,💂🏻‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man guard: light skin tone,2015,guard | light skin tone | man
383,U+1F482 U+1F3FC U+200D U+2642 U+FE0F,💂🏼‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man guard: medium-light skin tone,2015,guard | man | medium-light skin tone
384,U+1F482 U+1F3FD U+200D U+2642 U+FE0F,💂🏽‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man guard: medium skin tone,2015,guard | man | medium skin tone
385,U+1F482 U+1F3FE U+200D U+2642 U+FE0F,💂🏾‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man guard: medium-dark skin tone,2015,guard | man | medium-dark skin tone
386,U+1F482 U+1F3FF U+200D U+2642 U+FE0F,💂🏿‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man guard: dark skin tone,2015,dark skin tone | guard | man
387,U+1F482 U+200D U+2640 U+FE0F,💂‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman guard,2010,guard | woman
388,U+1F482 U+1F3FB U+200D U+2640 U+FE0F,💂🏻‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman guard: light skin tone,2015,guard | light skin tone | woman
389,U+1F482 U+1F3FC U+200D U+2640 U+FE0F,💂🏼‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman guard: medium-light skin tone,2015,guard | medium-light skin tone | woman
390,U+1F482 U+1F3FD U+200D U+2640 U+FE0F,💂🏽‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman guard: medium skin tone,2015,guard | medium skin tone | woman
391,U+1F482 U+1F3FE U+200D U+2640 U+FE0F,💂🏾‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman guard: medium-dark skin tone,2015,guard | medium-dark skin tone | woman
392,U+1F482 U+1F3FF U+200D U+2640 U+FE0F,💂🏿‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman guard: dark skin tone,2015,dark skin tone | guard | woman
393,U+1F477,👷,,,,,,,,,,,,—,,construction worker,2010,construction | hat | worker
394,U+1F477 U+1F3FB,👷🏻,—,,,,,,,,,—,—,—,—,construction worker: light skin tone,2015,construction | hat | light skin tone | worker
395,U+1F477 U+1F3FC,👷🏼,—,,,,,,,,,—,—,—,—,construction worker: medium-light skin tone,2015,construction | hat | medium-light skin tone | worker
396,U+1F477 U+1F3FD,👷🏽,—,,,,,,,,,—,—,—,—,construction worker: medium skin tone,2015,construction | hat | medium skin tone | worker
397,U+1F477 U+1F3FE,👷🏾,—,,,,,,,,,—,—,—,—,construction worker: medium-dark skin tone,2015,construction | hat | medium-dark skin tone | worker
398,U+1F477 U+1F3FF,👷🏿,—,,,,,,,,,—,—,—,—,construction worker: dark skin tone,2015,construction | dark skin tone | hat | worker
399,U+1F477 U+200D U+2642 U+FE0F,👷‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man construction worker,2010,construction | man | worker
400,U+1F477 U+1F3FB U+200D U+2642 U+FE0F,👷🏻‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man construction worker: light skin tone,2015,construction | light skin tone | man | worker
401,U+1F477 U+1F3FC U+200D U+2642 U+FE0F,👷🏼‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man construction worker: medium-light skin tone,2015,construction | man | medium-light skin tone | worker
402,U+1F477 U+1F3FD U+200D U+2642 U+FE0F,👷🏽‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man construction worker: medium skin tone,2015,construction | man | medium skin tone | worker
403,U+1F477 U+1F3FE U+200D U+2642 U+FE0F,👷🏾‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man construction worker: medium-dark skin tone,2015,construction | man | medium-dark skin tone | worker
404,U+1F477 U+1F3FF U+200D U+2642 U+FE0F,👷🏿‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man construction worker: dark skin tone,2015,construction | dark skin tone | man | worker
405,U+1F477 U+200D U+2640 U+FE0F,👷‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman construction worker,2010,construction | woman | worker
406,U+1F477 U+1F3FB U+200D U+2640 U+FE0F,👷🏻‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman construction worker: light skin tone,2015,construction | light skin tone | woman | worker
407,U+1F477 U+1F3FC U+200D U+2640 U+FE0F,👷🏼‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman construction worker: medium-light skin tone,2015,construction | medium-light skin tone | woman | worker
408,U+1F477 U+1F3FD U+200D U+2640 U+FE0F,👷🏽‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman construction worker: medium skin tone,2015,construction | medium skin tone | woman | worker
409,U+1F477 U+1F3FE U+200D U+2640 U+FE0F,👷🏾‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman construction worker: medium-dark skin tone,2015,construction | medium-dark skin tone | woman | worker
410,U+1F477 U+1F3FF U+200D U+2640 U+FE0F,👷🏿‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman construction worker: dark skin tone,2015,construction | dark skin tone | woman | worker
411,U+1F473,👳,,,,,,,,,,,,—,,person wearing turban,2010,turban
412,U+1F473 U+1F3FB,👳🏻,—,,,,,,,,,—,—,—,—,person wearing turban: light skin tone,2015,light skin tone | turban
413,U+1F473 U+1F3FC,👳🏼,—,,,,,,,,,—,—,—,—,person wearing turban: medium-light skin tone,2015,medium-light skin tone | turban
414,U+1F473 U+1F3FD,👳🏽,—,,,,,,,,,—,—,—,—,person wearing turban: medium skin tone,2015,medium skin tone | turban
415,U+1F473 U+1F3FE,👳🏾,—,,,,,,,,,—,—,—,—,person wearing turban: medium-dark skin tone,2015,medium-dark skin tone | turban
416,U+1F473 U+1F3FF,👳🏿,—,,,,,,,,,—,—,—,—,person wearing turban: dark skin tone,2015,dark skin tone | turban
417,U+1F473 U+200D U+2642 U+FE0F,👳‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man wearing turban,2010,man | turban
418,U+1F473 U+1F3FB U+200D U+2642 U+FE0F,👳🏻‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man wearing turban: light skin tone,2015,light skin tone | man | turban
419,U+1F473 U+1F3FC U+200D U+2642 U+FE0F,👳🏼‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man wearing turban: medium-light skin tone,2015,man | medium-light skin tone | turban
420,U+1F473 U+1F3FD U+200D U+2642 U+FE0F,👳🏽‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man wearing turban: medium skin tone,2015,man | medium skin tone | turban
421,U+1F473 U+1F3FE U+200D U+2642 U+FE0F,👳🏾‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man wearing turban: medium-dark skin tone,2015,man | medium-dark skin tone | turban
422,U+1F473 U+1F3FF U+200D U+2642 U+FE0F,👳🏿‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man wearing turban: dark skin tone,2015,dark skin tone | man | turban
423,U+1F473 U+200D U+2640 U+FE0F,👳‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman wearing turban,2010,turban | woman
424,U+1F473 U+1F3FB U+200D U+2640 U+FE0F,👳🏻‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman wearing turban: light skin tone,2015,light skin tone | turban | woman
425,U+1F473 U+1F3FC U+200D U+2640 U+FE0F,👳🏼‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman wearing turban: medium-light skin tone,2015,medium-light skin tone | turban | woman
426,U+1F473 U+1F3FD U+200D U+2640 U+FE0F,👳🏽‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman wearing turban: medium skin tone,2015,medium skin tone | turban | woman
427,U+1F473 U+1F3FE U+200D U+2640 U+FE0F,👳🏾‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman wearing turban: medium-dark skin tone,2015,medium-dark skin tone | turban | woman
428,U+1F473 U+1F3FF U+200D U+2640 U+FE0F,👳🏿‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman wearing turban: dark skin tone,2015,dark skin tone | turban | woman
429,U+1F471,👱,,,,,,,,,,,,—,,blond-haired person,2010,blond
430,U+1F471 U+1F3FB,👱🏻,—,,,,,,,,,—,—,—,—,blond-haired person: light skin tone,2015,blond | light skin tone
431,U+1F471 U+1F3FC,👱🏼,—,,,,,,,,,—,—,—,—,blond-haired person: medium-light skin tone,2015,blond | medium-light skin tone
432,U+1F471 U+1F3FD,👱🏽,—,,,,,,,,,—,—,—,—,blond-haired person: medium skin tone,2015,blond | medium skin tone
433,U+1F471 U+1F3FE,👱🏾,—,,,,,,,,,—,—,—,—,blond-haired person: medium-dark skin tone,2015,blond | medium-dark skin tone
434,U+1F471 U+1F3FF,👱🏿,—,,,,,,,,,—,—,—,—,blond-haired person: dark skin tone,2015,blond | dark skin tone
435,U+1F471 U+200D U+2642 U+FE0F,👱‍♂️,—,,,,—,—,—,—,—,—,—,—,—,blond-haired man,2010,blond | man
436,U+1F471 U+1F3FB U+200D U+2642 U+FE0F,👱🏻‍♂️,—,,,,—,—,—,—,—,—,—,—,—,blond-haired man: light skin tone,2015,blond | light skin tone | man
437,U+1F471 U+1F3FC U+200D U+2642 U+FE0F,👱🏼‍♂️,—,,,,—,—,—,—,—,—,—,—,—,blond-haired man: medium-light skin tone,2015,blond | man | medium-light skin tone
438,U+1F471 U+1F3FD U+200D U+2642 U+FE0F,👱🏽‍♂️,—,,,,—,—,—,—,—,—,—,—,—,blond-haired man: medium skin tone,2015,blond | man | medium skin tone
439,U+1F471 U+1F3FE U+200D U+2642 U+FE0F,👱🏾‍♂️,—,,,,—,—,—,—,—,—,—,—,—,blond-haired man: medium-dark skin tone,2015,blond | man | medium-dark skin tone
440,U+1F471 U+1F3FF U+200D U+2642 U+FE0F,👱🏿‍♂️,—,,,,—,—,—,—,—,—,—,—,—,blond-haired man: dark skin tone,2015,blond | dark skin tone | man
441,U+1F471 U+200D U+2640 U+FE0F,👱‍♀️,—,,,,—,—,—,—,—,—,—,—,—,blond-haired woman,2010,blonde | woman
442,U+1F471 U+1F3FB U+200D U+2640 U+FE0F,👱🏻‍♀️,—,,,,—,—,—,—,—,—,—,—,—,blond-haired woman: light skin tone,2015,blonde | light skin tone | woman
443,U+1F471 U+1F3FC U+200D U+2640 U+FE0F,👱🏼‍♀️,—,,,,—,—,—,—,—,—,—,—,—,blond-haired woman: medium-light skin tone,2015,blonde | medium-light skin tone | woman
444,U+1F471 U+1F3FD U+200D U+2640 U+FE0F,👱🏽‍♀️,—,,,,—,—,—,—,—,—,—,—,—,blond-haired woman: medium skin tone,2015,blonde | medium skin tone | woman
445,U+1F471 U+1F3FE U+200D U+2640 U+FE0F,👱🏾‍♀️,—,,,,—,—,—,—,—,—,—,—,—,blond-haired woman: medium-dark skin tone,2015,blonde | medium-dark skin tone | woman
446,U+1F471 U+1F3FF U+200D U+2640 U+FE0F,👱🏿‍♀️,—,,,,—,—,—,—,—,—,—,—,—,blond-haired woman: dark skin tone,2015,blonde | dark skin tone | woman
447,U+1F385,🎅,,,,,,,,,,,,—,,Santa Claus,2010,celebration | Christmas | claus | father | santa
448,U+1F385 U+1F3FB,🎅🏻,—,,,,,,,,,—,—,—,—,Santa Claus: light skin tone,2015,celebration | Christmas | claus | father | light skin tone | santa
449,U+1F385 U+1F3FC,🎅🏼,—,,,,,,,,,—,—,—,—,Santa Claus: medium-light skin tone,2015,celebration | Christmas | claus | father | medium-light skin tone | santa
450,U+1F385 U+1F3FD,🎅🏽,—,,,,,,,,,—,—,—,—,Santa Claus: medium skin tone,2015,celebration | Christmas | claus | father | medium skin tone | santa
451,U+1F385 U+1F3FE,🎅🏾,—,,,,,,,,,—,—,—,—,Santa Claus: medium-dark skin tone,2015,celebration | Christmas | claus | father | medium-dark skin tone | santa
452,U+1F385 U+1F3FF,🎅🏿,—,,,,,,,,,—,—,—,—,Santa Claus: dark skin tone,2015,celebration | Christmas | claus | dark skin tone | father | santa
453,U+1F936,🤶,,,,,,—,—,,,—,—,—,—,Mrs. Claus,2016,celebration | Christmas | claus | mother | Mrs.
454,U+1F936 U+1F3FB,🤶🏻,—,,,,,—,—,,,—,—,—,—,Mrs. Claus: light skin tone,2016,celebration | Christmas | claus | light skin tone | mother | Mrs.
455,U+1F936 U+1F3FC,🤶🏼,—,,,,,—,—,,,—,—,—,—,Mrs. Claus: medium-light skin tone,2016,celebration | Christmas | claus | medium-light skin tone | mother | Mrs.
456,U+1F936 U+1F3FD,🤶🏽,—,,,,,—,—,,,—,—,—,—,Mrs. Claus: medium skin tone,2016,celebration | Christmas | claus | medium skin tone | mother | Mrs.
457,U+1F936 U+1F3FE,🤶🏾,—,,,,,—,—,,,—,—,—,—,Mrs. Claus: medium-dark skin tone,2016,celebration | Christmas | claus | medium-dark skin tone | mother | Mrs.
458,U+1F936 U+1F3FF,🤶🏿,—,,,,,—,—,,,—,—,—,—,Mrs. Claus: dark skin tone,2016,celebration | Christmas | claus | dark skin tone | mother | Mrs.
459,U+1F478,👸,,,,,,,,,,,,—,,princess,2010,fairy tale | fantasy
460,U+1F478 U+1F3FB,👸🏻,—,,,,,,,,,—,—,—,—,princess: light skin tone,2015,fairy tale | fantasy | light skin tone
461,U+1F478 U+1F3FC,👸🏼,—,,,,,,,,,—,—,—,—,princess: medium-light skin tone,2015,fairy tale | fantasy | medium-light skin tone
462,U+1F478 U+1F3FD,👸🏽,—,,,,,,,,,—,—,—,—,princess: medium skin tone,2015,fairy tale | fantasy | medium skin tone
463,U+1F478 U+1F3FE,👸🏾,—,,,,,,,,,—,—,—,—,princess: medium-dark skin tone,2015,fairy tale | fantasy | medium-dark skin tone
464,U+1F478 U+1F3FF,👸🏿,—,,,,,,,,,—,—,—,—,princess: dark skin tone,2015,dark skin tone | fairy tale | fantasy
465,U+1F934,🤴,,,,,,—,—,,,—,—,—,—,prince,2016,prince
466,U+1F934 U+1F3FB,🤴🏻,—,,,,,—,—,,,—,—,—,—,prince: light skin tone,2016,light skin tone | prince
467,U+1F934 U+1F3FC,🤴🏼,—,,,,,—,—,,,—,—,—,—,prince: medium-light skin tone,2016,medium-light skin tone | prince
468,U+1F934 U+1F3FD,🤴🏽,—,,,,,—,—,,,—,—,—,—,prince: medium skin tone,2016,medium skin tone | prince
469,U+1F934 U+1F3FE,🤴🏾,—,,,,,—,—,,,—,—,—,—,prince: medium-dark skin tone,2016,medium-dark skin tone | prince
470,U+1F934 U+1F3FF,🤴🏿,—,,,,,—,—,,,—,—,—,—,prince: dark skin tone,2016,dark skin tone | prince
471,U+1F470,👰,,,,,,,,,,,—,—,,bride with veil,2010,bride | veil | wedding
472,U+1F470 U+1F3FB,👰🏻,—,,,,,,,,,—,—,—,—,bride with veil: light skin tone,2015,bride | light skin tone | veil | wedding
473,U+1F470 U+1F3FC,👰🏼,—,,,,,,,,,—,—,—,—,bride with veil: medium-light skin tone,2015,bride | medium-light skin tone | veil | wedding
474,U+1F470 U+1F3FD,👰🏽,—,,,,,,,,,—,—,—,—,bride with veil: medium skin tone,2015,bride | medium skin tone | veil | wedding
475,U+1F470 U+1F3FE,👰🏾,—,,,,,,,,,—,—,—,—,bride with veil: medium-dark skin tone,2015,bride | medium-dark skin tone | veil | wedding
476,U+1F470 U+1F3FF,👰🏿,—,,,,,,,,,—,—,—,—,bride with veil: dark skin tone,2015,bride | dark skin tone | veil | wedding
477,U+1F935,🤵,,,,,,—,—,,,—,—,—,—,man in tuxedo,2016,groom | man | tuxedo
478,U+1F935 U+1F3FB,🤵🏻,—,,,,,—,—,,,—,—,—,—,man in tuxedo: light skin tone,2016,groom | light skin tone | man | tuxedo
479,U+1F935 U+1F3FC,🤵🏼,—,,,,,—,—,,,—,—,—,—,man in tuxedo: medium-light skin tone,2016,groom | man | medium-light skin tone | tuxedo
480,U+1F935 U+1F3FD,🤵🏽,—,,,,,—,—,,,—,—,—,—,man in tuxedo: medium skin tone,2016,groom | man | medium skin tone | tuxedo
481,U+1F935 U+1F3FE,🤵🏾,—,,,,,—,—,,,—,—,—,—,man in tuxedo: medium-dark skin tone,2016,groom | man | medium-dark skin tone | tuxedo
482,U+1F935 U+1F3FF,🤵🏿,—,,,,,—,—,,,—,—,—,—,man in tuxedo: dark skin tone,2016,dark skin tone | groom | man | tuxedo
483,U+1F930,🤰,,,,,,—,—,,,—,—,—,—,pregnant woman,2016,pregnant | woman
484,U+1F930 U+1F3FB,🤰🏻,—,,,,,—,—,,,—,—,—,—,pregnant woman: light skin tone,2016,light skin tone | pregnant | woman
485,U+1F930 U+1F3FC,🤰🏼,—,,,,,—,—,,,—,—,—,—,pregnant woman: medium-light skin tone,2016,medium-light skin tone | pregnant | woman
486,U+1F930 U+1F3FD,🤰🏽,—,,,,,—,—,,,—,—,—,—,pregnant woman: medium skin tone,2016,medium skin tone | pregnant | woman
487,U+1F930 U+1F3FE,🤰🏾,—,,,,,—,—,,,—,—,—,—,pregnant woman: medium-dark skin tone,2016,medium-dark skin tone | pregnant | woman
488,U+1F930 U+1F3FF,🤰🏿,—,,,,,—,—,,,—,—,—,—,pregnant woman: dark skin tone,2016,dark skin tone | pregnant | woman
489,U+1F472,👲,,,,,,,,,,,,—,,man with Chinese cap,2010,gua pi mao | hat | man
490,U+1F472 U+1F3FB,👲🏻,—,,,,,,,,,—,—,—,—,man with Chinese cap: light skin tone,2015,gua pi mao | hat | light skin tone | man
491,U+1F472 U+1F3FC,👲🏼,—,,,,,,,,,—,—,—,—,man with Chinese cap: medium-light skin tone,2015,gua pi mao | hat | man | medium-light skin tone
492,U+1F472 U+1F3FD,👲🏽,—,,,,,,,,,—,—,—,—,man with Chinese cap: medium skin tone,2015,gua pi mao | hat | man | medium skin tone
493,U+1F472 U+1F3FE,👲🏾,—,,,,,,,,,—,—,—,—,man with Chinese cap: medium-dark skin tone,2015,gua pi mao | hat | man | medium-dark skin tone
494,U+1F472 U+1F3FF,👲🏿,—,,,,,,,,,—,—,—,—,man with Chinese cap: dark skin tone,2015,dark skin tone | gua pi mao | hat | man
495,U+1F64D,🙍,,,,,,,,,,,—,—,,person frowning,2010,frown | gesture
496,U+1F64D U+1F3FB,🙍🏻,—,,,,,,,,,—,—,—,—,person frowning: light skin tone,2015,frown | gesture | light skin tone
497,U+1F64D U+1F3FC,🙍🏼,—,,,,,,,,,—,—,—,—,person frowning: medium-light skin tone,2015,frown | gesture | medium-light skin tone
498,U+1F64D U+1F3FD,🙍🏽,—,,,,,,,,,—,—,—,—,person frowning: medium skin tone,2015,frown | gesture | medium skin tone
499,U+1F64D U+1F3FE,🙍🏾,—,,,,,,,,,—,—,—,—,person frowning: medium-dark skin tone,2015,frown | gesture | medium-dark skin tone
500,U+1F64D U+1F3FF,🙍🏿,—,,,,,,,,,—,—,—,—,person frowning: dark skin tone,2015,dark skin tone | frown | gesture
501,U+1F64D U+200D U+2642 U+FE0F,🙍‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man frowning,2010,frowning | gesture | man
502,U+1F64D U+1F3FB U+200D U+2642 U+FE0F,🙍🏻‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man frowning: light skin tone,2015,frowning | gesture | light skin tone | man
503,U+1F64D U+1F3FC U+200D U+2642 U+FE0F,🙍🏼‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man frowning: medium-light skin tone,2015,frowning | gesture | man | medium-light skin tone
504,U+1F64D U+1F3FD U+200D U+2642 U+FE0F,🙍🏽‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man frowning: medium skin tone,2015,frowning | gesture | man | medium skin tone
505,U+1F64D U+1F3FE U+200D U+2642 U+FE0F,🙍🏾‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man frowning: medium-dark skin tone,2015,frowning | gesture | man | medium-dark skin tone
506,U+1F64D U+1F3FF U+200D U+2642 U+FE0F,🙍🏿‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man frowning: dark skin tone,2015,dark skin tone | frowning | gesture | man
507,U+1F64D U+200D U+2640 U+FE0F,🙍‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman frowning,2010,frowning | gesture | woman
508,U+1F64D U+1F3FB U+200D U+2640 U+FE0F,🙍🏻‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman frowning: light skin tone,2015,frowning | gesture | light skin tone | woman
509,U+1F64D U+1F3FC U+200D U+2640 U+FE0F,🙍🏼‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman frowning: medium-light skin tone,2015,frowning | gesture | medium-light skin tone | woman
510,U+1F64D U+1F3FD U+200D U+2640 U+FE0F,🙍🏽‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman frowning: medium skin tone,2015,frowning | gesture | medium skin tone | woman
511,U+1F64D U+1F3FE U+200D U+2640 U+FE0F,🙍🏾‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman frowning: medium-dark skin tone,2015,frowning | gesture | medium-dark skin tone | woman
512,U+1F64D U+1F3FF U+200D U+2640 U+FE0F,🙍🏿‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman frowning: dark skin tone,2015,dark skin tone | frowning | gesture | woman
513,U+1F64E,🙎,,,,,,,,,,,—,—,,person pouting,2010,gesture | pouting
514,U+1F64E U+1F3FB,🙎🏻,—,,,,,,,,,—,—,—,—,person pouting: light skin tone,2015,gesture | light skin tone | pouting
515,U+1F64E U+1F3FC,🙎🏼,—,,,,,,,,,—,—,—,—,person pouting: medium-light skin tone,2015,gesture | medium-light skin tone | pouting
516,U+1F64E U+1F3FD,🙎🏽,—,,,,,,,,,—,—,—,—,person pouting: medium skin tone,2015,gesture | medium skin tone | pouting
517,U+1F64E U+1F3FE,🙎🏾,—,,,,,,,,,—,—,—,—,person pouting: medium-dark skin tone,2015,gesture | medium-dark skin tone | pouting
518,U+1F64E U+1F3FF,🙎🏿,—,,,,,,,,,—,—,—,—,person pouting: dark skin tone,2015,dark skin tone | gesture | pouting
519,U+1F64E U+200D U+2642 U+FE0F,🙎‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man pouting,2010,gesture | man | pouting
520,U+1F64E U+1F3FB U+200D U+2642 U+FE0F,🙎🏻‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man pouting: light skin tone,2015,gesture | light skin tone | man | pouting
521,U+1F64E U+1F3FC U+200D U+2642 U+FE0F,🙎🏼‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man pouting: medium-light skin tone,2015,gesture | man | medium-light skin tone | pouting
522,U+1F64E U+1F3FD U+200D U+2642 U+FE0F,🙎🏽‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man pouting: medium skin tone,2015,gesture | man | medium skin tone | pouting
523,U+1F64E U+1F3FE U+200D U+2642 U+FE0F,🙎🏾‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man pouting: medium-dark skin tone,2015,gesture | man | medium-dark skin tone | pouting
524,U+1F64E U+1F3FF U+200D U+2642 U+FE0F,🙎🏿‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man pouting: dark skin tone,2015,dark skin tone | gesture | man | pouting
525,U+1F64E U+200D U+2640 U+FE0F,🙎‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman pouting,2010,gesture | pouting | woman
526,U+1F64E U+1F3FB U+200D U+2640 U+FE0F,🙎🏻‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman pouting: light skin tone,2015,gesture | light skin tone | pouting | woman
527,U+1F64E U+1F3FC U+200D U+2640 U+FE0F,🙎🏼‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman pouting: medium-light skin tone,2015,gesture | medium-light skin tone | pouting | woman
528,U+1F64E U+1F3FD U+200D U+2640 U+FE0F,🙎🏽‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman pouting: medium skin tone,2015,gesture | medium skin tone | pouting | woman
529,U+1F64E U+1F3FE U+200D U+2640 U+FE0F,🙎🏾‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman pouting: medium-dark skin tone,2015,gesture | medium-dark skin tone | pouting | woman
530,U+1F64E U+1F3FF U+200D U+2640 U+FE0F,🙎🏿‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman pouting: dark skin tone,2015,dark skin tone | gesture | pouting | woman
531,U+1F645,🙅,,,,,,,,,,,,—,,person gesturing NO,2010,forbidden | gesture | hand | no | not | prohibited
532,U+1F645 U+1F3FB,🙅🏻,—,,,,,,,,,—,—,—,—,person gesturing NO: light skin tone,2015,forbidden | gesture | hand | light skin tone | no | not | prohibited
533,U+1F645 U+1F3FC,🙅🏼,—,,,,,,,,,—,—,—,—,person gesturing NO: medium-light skin tone,2015,forbidden | gesture | hand | medium-light skin tone | no | not | prohibited
534,U+1F645 U+1F3FD,🙅🏽,—,,,,,,,,,—,—,—,—,person gesturing NO: medium skin tone,2015,forbidden | gesture | hand | medium skin tone | no | not | prohibited
535,U+1F645 U+1F3FE,🙅🏾,—,,,,,,,,,—,—,—,—,person gesturing NO: medium-dark skin tone,2015,forbidden | gesture | hand | medium-dark skin tone | no | not | prohibited
536,U+1F645 U+1F3FF,🙅🏿,—,,,,,,,,,—,—,—,—,person gesturing NO: dark skin tone,2015,dark skin tone | forbidden | gesture | hand | no | not | prohibited
537,U+1F645 U+200D U+2642 U+FE0F,🙅‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man gesturing NO,2010,forbidden | gesture | hand | man | no | prohibited
538,U+1F645 U+1F3FB U+200D U+2642 U+FE0F,🙅🏻‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man gesturing NO: light skin tone,2015,forbidden | gesture | hand | light skin tone | man | no | prohibited
539,U+1F645 U+1F3FC U+200D U+2642 U+FE0F,🙅🏼‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man gesturing NO: medium-light skin tone,2015,forbidden | gesture | hand | man | medium-light skin tone | no | prohibited
540,U+1F645 U+1F3FD U+200D U+2642 U+FE0F,🙅🏽‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man gesturing NO: medium skin tone,2015,forbidden | gesture | hand | man | medium skin tone | no | prohibited
541,U+1F645 U+1F3FE U+200D U+2642 U+FE0F,🙅🏾‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man gesturing NO: medium-dark skin tone,2015,forbidden | gesture | hand | man | medium-dark skin tone | no | prohibited
542,U+1F645 U+1F3FF U+200D U+2642 U+FE0F,🙅🏿‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man gesturing NO: dark skin tone,2015,dark skin tone | forbidden | gesture | hand | man | no | prohibited
543,U+1F645 U+200D U+2640 U+FE0F,🙅‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman gesturing NO,2010,forbidden | gesture | hand | no | prohibited | woman
